CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;TIPO_HOGAR;MATERIAL_TECHUMBRE;DENSIDAD_HOGAR
TQRMNOPXYHLNLMCDEHIBB00805787;2024;3;1;1;40;N;22;103;1;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;0;3;848000;5;5;6;;6;6;282666,67;4;4;6;;5;6;104;1;0;3;0;0;0;Nuclear;Material durable;Alto
TQRMNOTTUHLMLNCDEHIBB00805779;2024;3;1;1;40;N;22;97;1;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;234000;1;1;1;;1;1;234000;3;4;5;;4;5;101;1;0;98;0;0;0;Unipersonal;Material durable;Medio
TQRMNOQPQHJLLNCDEHIBB00862512;2024;3;1;1;40;N;22;121;1;;4;1;;3;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;2;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;6;1;5;2189000;9;10;10;;10;10;364833,33;5;6;7;;6;7;140;1;2;3;4;7;0;Extendido;Material durable;Alto
TQRMNORSQHJLLNCDEHIBB00862513;2024;3;1;1;40;N;22;117;1;;4;1;;3;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;1;2;1;2;2;2;2;1;2;2;2;1;2;2;2;2;8;3;5;790000;5;5;5;;5;6;98750;1;1;1;;1;1;121;2;4;1;0;0;0;Extendido;Material durable;Alto
TQRMNORUWHKOLPCDEHIBB00867838;2024;3;1;1;40;N;22;139;1;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;4;0;4;870000;5;6;6;;6;6;217500;3;3;4;;4;5;146;2;0;98;0;0;0;Nuclear;Material durable;Alto
TQRMNORUXHKOLPCDEHIBB00867839;2024;3;1;1;40;N;22;194;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;0;2;420000;2;2;3;;3;3;210000;3;3;4;;3;5;200;1;2;98;0;0;0;Nuclear;Material durable;Medio
TQRMNOPSPHMMLNCDEHIBB00810881;2024;3;1;1;40;N;22;95;1;;2;1;;2;1;1;1;;1;1;1;2;2;2;2;3;2;1;1;1;2;2;2;0;2;0;1;;2;;1;1;1;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10;3;7;1316000;7;8;8;;8;8;131600;2;2;2;;2;3;107;4;0;3;0;0;0;Extendido;Material durable;Alto
TQRMNOPVPHJOLRCDEIIAD00862199;2024;3;1;1;1;S;32;2924;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;1;;1;;1;1;1;1;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;2;0;2;1403000;8;;7;8;;6;701500;8;;8;8;;6;5692;2;0;98;0;0;0;Nuclear;Material durable;Medio
TQRMNORRVHJMMLCDEIIAD00862922;2024;3;1;1;1;S;32;1256;2;;2;4;no especifica;9;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;2;2;2;0;0;0;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1520000;8;;8;8;;6;1520000;10;;10;10;;9;1817;1;0;98;0;0;0;Unipersonal;Material durable;Medio
TQRMNOPSTHKLMNCDEIIAD00867840;2024;3;1;1;1;S;32;1843;2;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;4;electricidad;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;0;2;450000;2;;2;2;;1;225000;3;;3;3;;1;3123;1;0;98;0;0;0;Nuclear;Material durable;Medio
TQRMNOPVPHLNKMCDEIIAD00806977;2024;3;1;1;1;S;32;943;2;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;6;;1;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;2800000;10;;10;10;;9;2800000;10;;10;10;;10;1310;96;0;1;0;0;0;Unipersonal;Material durable;Medio
TQRMNOPUQHLMKOCDEIIAD00812117;2024;3;1;1;1;S;32;1851;1;;5;1;;1;1;1;1;;1;1;1;1;2;2;2;5;2;2;0;1;1;2;2;0;2;0;1;;1;;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;300000;1;;1;1;;1;300000;4;;4;4;;2;2159;1;0;98;0;0;0;Unipersonal;Material durable;Medio
TQRMNOXWSHLNKRCDEIIAD00812118;2024;3;1;1;1;S;32;1933;2;;5;1;;1;1;1;1;;1;1;1;1;2;2;2;5;3;2;0;1;1;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;1;2;1;2;1;1;2;2;1;2;2;2;2;3;0;3;0;12;;12;12;;12;0;12;;12;12;;12;0;1;0;96;0;0;0;Nuclear;Material durable;Alto
TQRMNORVTHKOLSCDEIJAH00867841;2024;3;1;1;1;S;33;3219;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;4;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;3;1;2;850000;5;;5;5;;5;283333,33;4;;4;4;;5;6944;2;0;98;0;0;0;Nuclear;Material durable;Alto
TQSMNOQQUHKMLTCDEIJAH00867842;2024;3;1;1;1;S;33;1891;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;1;2;0;2;0;6;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;12;;12;12;;12;0;12;;12;12;;12;0;2;0;98;0;0;0;Nuclear;Material durable;Medio
TQRMNOQQUHLMMOCDEIJAH00807136;2024;3;1;1;1;S;33;2100;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;8;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;150000;1;;1;1;;1;150000;2;;2;2;;2;2474;1;0;98;0;0;0;Unipersonal;Material durable;Medio
TQRMNOPYTHKOMLCDEIJAH00867843;2024;3;1;1;1;S;33;2835;1;;4;2;;3;1;1;1;;1;1;1;3;2;1;2;4;3;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;2;4;0;12;;12;12;;12;0;12;;12;12;;12;0;2;0;3;4;5;0;Extendido;Material durable;Alto
TQRMNORSYHKMLTCDEIKAH00867844;2024;3;1;1;43;S;34;1044;1;;4;1;;3;2;1;1;;1;1;1;1;2;2;2;4;2;1;1;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;5;2;3;1400000;8;8;8;7;;8;280000;4;4;4;4;;4;1919;1;2;98;0;0;0;Extendido;Material durable;Alto
TQRMNORTPHKMLTCDEIKAH00867845;2024;3;1;1;43;S;34;578;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;1;1;1;2;2;2;0;0;0;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;0;12;12;12;12;;12;0;12;12;12;12;;12;0;1;0;98;0;0;0;Unipersonal;Material durable;Medio
TQRMNOSRXHLMKOCDEFIAH00867602;2024;3;1;1;43;S;2;803;2;;1;1;;1;1;1;1;;1;1;1;2;2;2;2;1;1;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;1;1;2;2;2;2;2;2;3;1;2;580000;3;3;3;3;;3;193333,33;3;3;2;3;;3;1421;1;2;98;0;0;0;Nuclear;Material durable;Alto
TQRMNOPVYHJOKNCDEFIAH00862417;2024;3;1;1;43;S;2;667;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;4;0;4;1450000;8;8;8;8;;8;362500;5;6;5;5;;5;1303;1;3;2;0;0;0;Nuclear;Material durable;Alto
TQRMNOTQPHJOKNCDEFIAH00862814;2024;3;1;1;43;S;2;440;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;950000;6;6;6;6;;6;475000;7;7;7;7;;7;716;1;2;98;0;0;0;Nuclear;Material durable;Medio
TQRMNOSQYHMMLOCDEFJAH00808765;2024;3;1;1;43;N;3;228;2;;2;1;;9;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;1;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;1200000;7;7;7;;8;7;1200000;10;10;10;;10;10;371;1;0;98;0;0;0;Unipersonal;Material durable;Medio
TQRMNOSRQHMMLOCDEFJAH00808696;2024;3;1;1;43;N;3;326;2;;4;1;;9;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;1;1;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;850000;5;5;5;;6;5;850000;9;9;9;;10;9;518;1;0;98;0;0;0;Unipersonal;Material durable;Medio
TQRMNOQXUHMKLPCDEFJAH00808697;2024;3;1;1;43;N;3;533;2;;3;1;;9;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;1;1;3000000;10;10;10;;10;10;1500000;10;10;10;;10;10;641;96;0;98;0;0;0;Nuclear;Material durable;Medio
TQRMNOPSUHMMLRCDEFJAH00808698;2024;3;1;1;43;N;3;399;1;;2;2;;4;1;1;1;;1;1;1;3;2;2;2;2;2;2;0;1;2;2;2;0;2;0;3;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;1;5;0;12;12;12;;12;12;0;12;12;12;;12;12;0;2;0;4;0;0;0;Extendido;Material durable;Alto
TQRMNOURTHMLKRCDEIIAD00812087;2024;3;1;1;1;S;32;1616;2;;4;1;;2;1;1;1;;1;1;1;1;2;2;2;4;1;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2;2;2;0;2;0;12;;12;12;;12;0;12;;12;12;;12;0;1;0;96;0;0;0;Nuclear;Material durable;Medio
TQRMNOQQQHKKKTCDEIIAD00867603;2024;3;1;1;1;S;32;789;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;0;12;;12;12;;12;0;12;;12;12;;12;0;2;0;96;0;0;0;Nuclear;Material durable;Alto
TQRMNORPWHMKLMCDEIIAD00811906;2024;3;1;1;1;S;32;995;2;;4;1;;9;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;2;2;2;0;2;0;1;;1;;1;1;1;1;1;2;2;2;2;1;2;2;2;2;1;2;2;2;1;2;2;2;2;3;0;3;0;12;;12;12;;12;0;12;;12;12;;12;0;1;0;2;0;0;0;Nuclear;Material durable;Alto
TQRMNOQQYHLMLUCDEIIAD00806969;2024;3;1;1;1;S;32;1080;2;;3;1;;9;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;1;2;2;2;1;0;1;1000000;6;;5;6;;4;1000000;9;;9;9;;8;1562;1;0;98;0;0;0;Unipersonal;Material durable;Medio
TQRMNOTVUHJMLMCDEIIAD00862372;2024;3;1;1;1;S;32;2194;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;1;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;940000;6;;5;5;;4;470000;7;;6;7;;4;4099;2;0;98;0;0;0;Nuclear;Material durable;Medio
TQRMNOPVSHMLLRCDEIIAD00812115;2024;3;1;1;1;S;32;679;2;;4;1;;9;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;1;2;2;2;2;1;0;1;1310000;7;;7;7;;5;1310000;10;;10;10;;9;1126;2;0;98;0;0;0;Unipersonal;Material durable;Medio
TQRMNORVTHKOKOCDEFMDB00867604;2024;3;1;1;43;N;6;142;1;;1;1;;1;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;1;2;2;0;2;0;1;;2;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;690000;4;4;4;;5;4;690000;8;9;8;;9;8;190;1;0;98;0;0;0;Unipersonal;Material durable;Medio
