CODUSU,ANO4,TRIMESTRE,NRO_HOGAR,REALIZADA,REGION,MAS_500,AGLOMERADO,PONDERA,IV1,IV1_ESP,IV2,IV3,IV3_ESP,IV4,IV5,IV6,IV7,IV7_ESP,IV8,IV9,IV10,IV11,IV12_1,IV12_2,IV12_3,II1,II2,II3,II3_1,II4_1,II4_2,II4_3,II5,II5_1,II6,II6_1,II7,II7_ESP,II8,II8_ESP,II9,V1,V2,V21,V22,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19_A,V19_B,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,DECIFR,IDECIFR,RDECIFR,GDECIFR,PDECIFR,ADECIFR,IPCF,DECCFR,IDECCFR,RDECCFR,GDECCFR,PDECCFR,ADECCFR,PONDIH,VII1_1,VII1_2,VII2_1,VII2_2,VII2_3,VII2_4,TIPO_HOGAR,MATERIAL_TECHUMBRE,DENSIDAD_HOGAR,CONDICION_DE_HABITABILIDAD
TQRMNOPYPHKOKMCDEIMBF00859787,2024,1,1,1,43,N,36,126,1,,2,1,,1,2,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,2,1,2,0,2,0,1,,1,,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,225000,2,2,2,,2,2,225000,6,7,6,,7,7,132,97,0,98,0,0,0,Unipersonal,Material durable,Bajo,buena
TQRMNOPYVHKOKMCDEIMBF00859788,2024,1,1,1,43,N,36,176,1,,2,1,,1,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,1,1,2,0,2,0,1,,1,,1,1,1,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,4,1,3,1493000,10,10,10,,10,10,373250,8,9,8,,9,8,290,1,0,98,0,0,0,Nuclear,Material durable,Alto,buena
TQRMNOPTQHJNKNCDEIMBF00796802,2024,1,1,1,43,N,36,130,1,,2,1,,2,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,2,2,2,0,2,0,3,,1,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,478000,5,6,5,,6,6,239000,6,7,6,,7,7,138,2,0,98,0,0,0,Nuclear,Material durable,Medio,buena
TQRMNOPPYHLOKOCDEIMBF00855897,2024,1,1,1,43,N,36,125,1,,1,1,,1,1,1,1,,1,1,1,1,2,2,2,1,1,2,0,1,1,1,2,0,2,0,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,0,2,326000,3,4,4,,4,4,163000,5,5,4,,5,4,130,1,2,98,0,0,0,Nuclear,Material durable,Alto,buena
TQRMNORRPHJKKOCDEIMBF00796837,2024,1,1,1,43,N,36,196,1,,4,1,,1,1,1,1,,1,1,1,1,2,2,2,4,3,2,0,1,2,2,2,0,2,0,6,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,5,1,4,300000,3,3,3,,3,3,60000,1,1,1,,1,1,257,1,2,98,0,0,0,Extendido,Material durable,Alto,buena
TQRMNOPTWHKMKPCDEIMBF00859789,2024,1,1,1,43,N,36,151,1,,4,1,,1,1,1,1,,1,1,1,1,2,1,2,4,3,2,0,1,2,1,2,0,2,0,6,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,0,4,0,12,12,12,,12,12,0,12,12,12,,12,12,0,2,0,98,0,0,0,Nuclear,Material durable,Medio,buena
TQRMNOQVQHMMKRCDEIMBF00802898,2024,1,1,1,43,N,36,137,1,,3,1,,2,2,1,1,,1,1,1,1,2,1,2,3,2,2,0,1,2,2,2,0,2,0,1,,1,,1,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,0,3,0,12,12,12,,12,12,0,12,12,12,,12,12,0,2,0,98,0,0,0,Nuclear,Material durable,Medio,buena
TQRMNOPPUHMMKTCDEIMBF00802852,2024,1,1,1,43,N,36,139,1,,3,1,,1,1,1,1,,1,1,1,1,2,2,2,3,3,2,0,1,2,1,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,4,0,12,12,12,,12,12,0,12,12,12,,12,12,0,2,1,98,0,0,0,Nuclear,Material durable,Alto,buena
TQRMNOQXWHLOKUCDEHMHF00854202,2024,1,1,1,42,N,26,138,1,,3,1,,1,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,2,2,1,2,0,2,0,1,,2,,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,450000,5,5,5,,5,5,450000,9,9,9,,9,9,144,1,0,98,0,0,0,Unipersonal,Material durable,Bajo,buena
TQRMNOQWTHKMLPCDEIGED00859420,2024,1,1,1,43,N,30,113,1,,4,1,,2,1,1,1,,1,1,1,1,2,2,2,4,3,2,0,1,1,1,2,0,2,0,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,3,0,3,1200000,9,10,10,,10,9,400000,8,9,9,,9,8,198,3,0,1,2,0,0,Nuclear,Material durable,Bajo,buena
TQRMNOQYUHKMLQCDEIGED00859421,2024,1,1,1,43,N,30,420,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,1,2,2,0,2,0,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,7,2,5,210000,2,2,2,,2,2,30000,1,1,1,,1,1,586,1,0,3,0,0,0,Extendido,Material durable,Alto,buena
