CODUSU,ANO4,TRIMESTRE,NRO_HOGAR,REALIZADA,REGION,MAS_500,AGLOMERADO,PONDERA,IV1,IV1_ESP,IV2,IV3,IV3_ESP,IV4,IV5,IV6,IV7,IV7_ESP,IV8,IV9,IV10,IV11,IV12_1,IV12_2,IV12_3,II1,II2,II3,II3_1,II4_1,II4_2,II4_3,II5,II5_1,II6,II6_1,II7,II7_ESP,II8,II8_ESP,II9,V1,V2,V21,V22,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19_A,V19_B,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,DECIFR,IDECIFR,RDECIFR,GDECIFR,PDECIFR,ADECIFR,IPCF,DECCFR,IDECCFR,RDECCFR,GDECCFR,PDECCFR,ADECCFR,PONDIH,VII1_1,VII1_2,VII2_1,VII2_2,VII2_3,VII2_4,TIPO_HOGAR,MATERIAL_TECHUMBRE,DENSIDAD_HOGAR,CONDICION_DE_HABITABILIDAD
TQRMNORYRHMMLOCDEGIBJ00809888,2023,3,1,1,41,N,12,230,1.0,,4.0,1.0,,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,,2.0,,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,580000,9,9.0,10,,9.0,9,290000,9,10.0,10,,10.0,10,251,1,0,98,0,0,0,Nuclear,Material durable,Bajo,buena
TQRMNOSVPHKNKMCDEFOCD00788272,2023,3,1,1,41,N,8,103,1.0,,3.0,2.0,,4.0,2.0,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,,2.0,,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,1,3,240000,5,5.0,6,,5.0,8,60000,3,3.0,4,,3.0,6,109,2,0,98,0,0,0,Nuclear,Material durable,Alto,saludables
TQRMNOQWTHMMKNCDEGGFB00809777,2023,3,1,1,42,S,10,591,1.0,,3.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,8.0,,1.0,,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,5,1,4,750000,10,10.0,10,10.0,,10,150000,7,7.0,8,7.0,,8,534,1,2,98,0,0,0,Extendido,Material durable,Alto,buena
TQRMNOSPPHLLKPCDEGGFB00804675,2023,3,1,1,42,S,10,489,2.0,,3.0,1.0,,9.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,,1.0,,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,0,2,800000,10,10.0,10,10.0,,10,400000,10,10.0,10,10.0,,10,869,1,0,2,0,0,0,Nuclear,No aplica,Bajo,buena
TQRMNORPYHKMNNCDEIJAH00793451,2023,3,1,1,1,S,33,1425,1.0,,5.0,1.0,,4.0,1.0,1.0,2.0,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,3.0,,1.0,,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,0,1,220000,4,,4,4.0,,4,220000,9,,8,8.0,,9,1684,1,0,98,0,0,0,Unipersonal,Material durable,Bajo,saludables
TQRMNOQYTHMMMUCDEIJAH00812825,2023,3,1,1,1,S,33,804,1.0,,2.0,1.0,,4.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,,1.0,,1.0,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0,1,0,12,,12,12.0,,12,0,12,,12,12.0,,12,0,1,0,98,0,0,0,Unipersonal,Material durable,Bajo,saludables
TQRMNOPSWHJONQCDEIJAH00786224,2023,3,1,1,1,S,33,1112,1.0,,3.0,1.0,,4.0,1.0,1.0,2.0,,1.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,,1.0,,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,4,0,4,0,12,,12,12.0,,12,0,12,,12,12.0,,12,0,2,0,1,3,4,0,Nuclear,Material durable,Alto,saludables
TQTMNOPSXHJONQCDEIJAH00786120,2023,3,1,1,1,S,33,1002,1.0,,1.0,2.0,,4.0,2.0,2.0,2.0,,2.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,,4.0,electricidad,4.0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,5,0,5,500000,8,,8,8.0,,8,100000,5,,4,5.0,,5,2514,1,2,3,4,5,0,Extendido,Material durable,Alto,insuficiente
TQRMNOPSTHKNNOCDEIJAH00791652,2023,3,1,1,1,S,33,564,1.0,,5.0,1.0,,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,,1.0,,1.0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,5,0,5,0,12,,12,12.0,,12,0,12,,12,12.0,,12,0,1,2,3,4,0,0,Extendido,Material durable,Medio,buena
TQRMNOQVXHKONPCDEIJAH00792206,2023,3,1,1,1,S,33,797,1.0,,2.0,1.0,,4.0,1.0,1.0,2.0,,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,,2.0,,1.0,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0,1,149000,2,,2,2.0,,2,149000,7,,7,7.0,,7,1125,1,0,98,0,0,0,Unipersonal,Material durable,Bajo,saludables
TQRMNOSYVHJONTCDEIJAH00791577,2023,3,1,1,1,S,33,715,1.0,,3.0,1.0,,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,,1.0,,1.0,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,6,0,6,0,12,,12,12.0,,12,0,12,,12,12.0,,12,0,1,2,98,0,0,0,Extendido,Material durable,Alto,saludables
TQSMNORPUHLMNQCDEIJAH00807119,2023,3,1,1,1,S,33,655,2.0,,2.0,1.0,,4.0,1.0,1.0,2.0,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,6.0,,1.0,,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,610000,9,,9,9.0,,9,305000,10,,9,10.0,,10,1244,1,0,2,0,0,0,Nuclear,Material durable,Medio,saludables
TQRMNOSVQHKMNRCDEIJAH00791855,2023,3,1,1,1,S,33,1596,2.0,,4.0,1.0,,2.0,1.0,1.0,2.0,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,,1.0,,1.0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,8,2,6,0,12,,12,12.0,,12,0,12,,12,12.0,,12,0,2,1,4,5,0,0,Extendido,Material durable,Alto,saludables
TQRMNOSTUHLKKTCDEGPDJ00805555,2023,3,1,1,40,N,19,300,1.0,,3.0,2.0,,4.0,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,,2.0,,1.0,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,0,2,90000,1,1.0,2,,1.0,1,45000,2,2.0,2,,2.0,3,303,1,0,98,0,0,0,Nuclear,Material durable,Bajo,saludables
