"CODUSU";"ANO4";"TRIMESTRE";"NRO_HOGAR";"REALIZADA";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4"
"TQRMNOSSYHLOLQCDEFNFF00804250";2023;3;1;1;41;"N";7;294;1;"";2;1;"";4;1;1;1;"";1;1;1;2;2;2;2;2;1;2;0;1;2;2;2;0;2;0;6;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;0;2;182500;"3";"4";"4";"";"4";"4";91250;"4";"5";"6";"";"5";"5";615;2;0;1;0;0;0
"TQRMNOPUSHLMKRCDEIHJF00806846";2023;3;1;1;44;"N";31;201;2;"";4;1;"";4;1;1;1;"";1;1;1;1;2;2;2;4;3;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;4;1;3;980000;"10";"10";"10";"";"10";"9";245000;"9";"9";"8";"";"9";"7";227;1;0;2;3;0;0
"TQRMNOPQYHKMKOCDEIHJF00791207";2023;3;1;1;44;"N";31;139;1;"";6;1;"";4;1;1;1;"";1;1;1;1;2;2;2;6;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;300000;"6";"6";"4";"";"6";"3";300000;"9";"10";"9";"";"10";"8";140;96;0;96;0;0;0
"TQRMNORXRHJOLRCDEFLID00782374";2023;3;1;1;43;"S";5;258;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;1;1;2;0;2;0;3;"";1;"";1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;180000;"3";"4";"3";"3";"";"4";180000;"8";"8";"8";"8";"";"8";283;1;0;98;0;0;0
"TQRMNOPVPHKOLTCDEFLID00787839";2023;3;1;1;43;"S";5;330;1;"";4;1;"";4;1;1;1;"";1;1;1;3;2;2;2;4;1;2;0;1;1;2;2;0;2;0;1;"";2;"";1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;50000;"1";"1";"1";"1";"";"1";50000;"2";"2";"2";"2";"";"2";422;1;0;98;0;0;0
"TQRMNORXPHKOLTCDEFLID00787843";2023;3;1;1;43;"S";5;555;1;"";3;1;"";4;1;1;1;"";1;1;1;2;2;2;2;3;2;2;0;1;2;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;2;2;200000;"4";"4";"4";"4";"";"4";50000;"2";"2";"2";"2";"";"3";809;2;0;1;0;0;0
"TQRMNOPRYHMOLSCDEFLID00809095";2023;3;1;1;43;"S";5;365;1;"";2;1;"";4;1;1;1;"";1;1;1;2;2;2;2;2;2;2;0;1;1;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;1;4;420000;"8";"8";"8";"7";"";"8";84000;"4";"4";"4";"4";"";"4";647;1;0;2;0;0;0
"TQRMNOVSQHMOLSCDEFLID00809096";2023;3;1;1;43;"S";5;320;1;"";2;1;"";4;1;1;1;"";1;1;1;2;2;2;2;2;2;2;0;1;2;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;120000;"2";"2";"2";"2";"";"2";40000;"2";"2";"1";"2";"";"2";612;1;0;98;0;0;0
"TQRMNOTXTHJNKMCDEIOAH00787008";2023;3;1;1;43;"N";38;155;1;"";1;2;"";4;2;1;1;"";1;1;2;3;2;2;1;1;1;2;0;1;2;2;2;0;2;0;2;"";2;"";1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;83000;"1";"1";"1";"";"1";"1";20750;"1";"1";"1";"";"1";"1";161;1;0;98;0;0;0
"TQRMNOQPPHKNKMCDEIOAH00792728";2023;3;1;1;43;"N";38;95;1;"";2;1;"";3;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;83000;"1";"1";"1";"";"1";"1";83000;"4";"4";"4";"";"5";"4";113;1;0;98;0;0;0
